,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name
1215,tinoco,jesus,622786,tinoj001,tinocje01,16300,2019.0,2022.0,jesus tinoco-622786
1216,tom,ka'ai,664789,tom-k001,tomka01,18136,2021.0,2022.0,ka'ai tom-664789
1217,torkelson,spencer,679529,torks001,torkesp01,27465,2022.0,2022.0,spencer torkelson-679529
1218,toro,abraham,647351,toroa001,toroab01,19844,2019.0,2022.0,abraham toro-647351
1219,torrens,luis,620443,torrl001,torrelu01,15905,2017.0,2022.0,luis torrens-620443
1220,torres,gleyber,650402,torrg001,torregl01,16997,2018.0,2022.0,gleyber torres-650402
1221,toussaint,touki,657053,toust001,toussto01,16929,2018.0,2022.0,touki toussaint-657053
1222,trammell,taylor,666211,tramt001,trammta01,19960,2021.0,2022.0,taylor trammell-666211
1223,treinen,blake,595014,treib001,treinbl01,12572,2014.0,2022.0,blake treinen-595014
1224,trejo,alan,676701,treja001,trejoal01,20056,2021.0,2022.0,alan trejo-676701
1225,trevino,jose,624431,trevj001,trevijo01,16725,2018.0,2022.0,jose trevino-624431
1226,trivino,lou,642152,trivl001,trivilo01,15043,2018.0,2022.0,lou trivino-642152
1227,trout,mike,545361,troum001,troutmi01,10155,2011.0,2022.0,mike trout-545361
1228,tsutsugo,yoshi,660294,tsuty001,tsutsyo01,27459,2020.0,2022.0,yoshi tsutsugo-660294
1229,tucker,cole,657061,tuckc001,tuckeco01,17326,2019.0,2022.0,cole tucker-657061
1230,tucker,kyle,663656,tuckk001,tuckeky01,18345,2018.0,2022.0,kyle tucker-663656
1231,tully,tanner,668684,tullt001,tullyta01,19518,2022.0,2022.0,tanner tully-668684
1232,turner,justin,457759,turnj001,turneju01,5235,2009.0,2022.0,justin turner-457759
1233,turner,trea,607208,turnt001,turnetr01,16252,2015.0,2022.0,trea turner-607208
1234,tyler,kyle,667725,tylek001,tylerky01,22092,2021.0,2022.0,kyle tyler-667725
1235,uceta,edwin,670955,ucete001,ucetaed01,20539,2021.0,2022.0,edwin uceta-670955
1236,uelmen,erich,657272,uelme001,uelmeer01,20323,2022.0,2022.0,erich uelmen-657272
1237,underwood,duane,621249,unded001,underdu01,14677,2018.0,2022.0,duane underwood-621249
1238,upton,justin,457708,uptoj001,uptonju01,5222,2007.0,2022.0,justin upton-457708
1239,ureña,josé,570632,urenj001,urenajo01,11589,2015.0,2022.0,josé ureña-570632
1240,urías,julio,628711,uriaj001,uriasju01,14765,2016.0,2022.0,julio urías-628711
1241,urías,luis,649966,urial001,uriaslu01,16622,2018.0,2022.0,luis urías-649966
1242,urías,ramón,602104,uriar001,uriasra01,18795,2020.0,2022.0,ramón urías-602104
1243,urquidy,josé,664353,urquj001,urquijo01,18413,2019.0,2022.0,josé urquidy-664353
1244,urshela,gio,570482,urshg001,urshegi01,10681,2015.0,2022.0,gio urshela-570482
1245,valdez,césar,491624,valdc003,valdece01,9013,2010.0,2022.0,césar valdez-491624
1246,valdez,framber,664285,valdf001,valdefr01,17295,2018.0,2022.0,framber valdez-664285
1247,valdez,phillips,570488,valdp002,valdeph01,15605,2019.0,2022.0,phillips valdez-570488
1248,vanmeter,josh,642165,vanmj001,vanmejo01,15170,2019.0,2022.0,josh vanmeter-642165
1249,vargas,ildemaro,545121,vargi001,vargail01,13324,2017.0,2022.0,ildemaro vargas-545121
1250,vargas,miguel,678246,vargm001,vargami01,20178,2022.0,2022.0,miguel vargas-678246
1251,varsho,daulton,662139,varsd001,varshda01,19918,2020.0,2022.0,daulton varsho-662139
1252,vasquez,andrew,607755,vasqa002,vasquan02,19482,2018.0,2022.0,andrew vasquez-607755
1253,vaughn,andrew,683734,vauga001,vaughan01,26197,2021.0,2022.0,andrew vaughn-683734
1254,vavra,terrin,679631,vavrt001,vavrate01,24400,2022.0,2022.0,terrin vavra-679631
1255,vázquez,christian,543877,vazqc001,vazquch01,9774,2014.0,2022.0,christian vázquez-543877
1256,velasquez,vince,592826,velav001,velasvi01,11189,2015.0,2022.0,vince velasquez-592826
1257,velazquez,andrew,623205,velaa001,velazan01,14196,2018.0,2022.0,andrew velazquez-623205
1258,velázquez,nelson,676369,velan001,velazne01,23359,2022.0,2022.0,nelson velázquez-676369
1259,verdugo,alex,657077,verda001,verdual01,17027,2017.0,2022.0,alex verdugo-657077
1260,verhagen,drew,572403,verhd001,verhadr01,13424,2014.0,2022.0,drew verhagen-572403
1261,verlander,justin,434378,verlj001,verlaju01,8700,2005.0,2022.0,justin verlander-434378
1262,vesia,alex,681911,vesia001,vesiaal01,25007,2020.0,2022.0,alex vesia-681911
1263,vespi,nick,663989,vespn001,vespini01,21093,2022.0,2022.0,nick vespi-663989
1264,vest,will,676684,vestw001,vestwi01,19769,2021.0,2022.0,will vest-676684
1265,vieaux,cam,664944,vieac001,vieauca01,19529,2022.0,2022.0,cam vieaux-664944
1266,vierling,matt,663837,vierm001,vierlma01,21558,2021.0,2022.0,matt vierling-663837
1267,villar,david,681584,villd001,villada01,24782,2022.0,2022.0,david villar-681584
1268,villar,jonathan,542340,villj001,villajo01,10071,2013.0,2022.0,jonathan villar-542340
1269,viloria,meibrys,650619,vilom001,vilorme01,17109,2018.0,2022.0,meibrys viloria-650619
1270,vizcaíno,arodys,527055,vizca001,vizcaar01,5498,2011.0,2022.0,arodys vizcaíno-527055
1271,vogelbach,dan,596129,voged001,vogelda01,14130,2016.0,2022.0,dan vogelbach-596129
1272,vogt,stephen,519390,vogts001,vogtst01,5000,2012.0,2022.0,stephen vogt-519390
1273,voit,luke,572228,voitl001,voitlu01,14811,2017.0,2022.0,luke voit-572228
1274,vosler,jason,613564,voslj001,vosleja01,16686,2021.0,2022.0,jason vosler-613564
1275,voth,austin,608723,votha001,vothau01,15047,2018.0,2022.0,austin voth-608723
1276,votto,joey,458015,vottj001,vottojo01,4314,2007.0,2022.0,joey votto-458015
1277,wacha,michael,608379,wachm001,wachami01,14078,2013.0,2022.0,michael wacha-608379
1278,wade,lamonte,664774,wadel001,wadela01,18126,2019.0,2022.0,lamonte wade-664774
1279,wade,tyler,642180,wadet002,wadety01,15730,2017.0,2022.0,tyler wade-642180
1280,wainwright,adam,425794,waina001,wainwad01,2233,2005.0,2022.0,adam wainwright-425794
